obsdate,freq,flux,err,rms
1.636877778,97.5,798,8,9
2.888225694,33,607,15,15
2.909983218,22,557,10,10
2.926748843,15,422,9,8
2.939618924,10,317,8,9
2.951103299,6,181,9,9
3.695265556,97.5,555,8,9
6.867873843,15,438,7,7
6.881176505,10,443,9,8
6.891911169,6,294,9,8
7.596325556,97.5,304,11,11.3
11.84180208,33,308,15,16
11.86367506,22,304,11,11
11.88044039,15,386,8,8
11.89331047,10,467,9,9
11.90479485,6,302,10,10
12.90833796,33,229,15,15
12.93021094,22,281,12,11
12.94697627,15,280,8,8
12.95984635,10,271,8,9
12.97133131,6,204,9,9
13.93699161,22,225,8,10
13.95367043,15,292,8,8
13.9664537,10,281,8,9
13.97759201,6,248,10,10
20.88328559,33,184,13,16
20.90515856,22,180,11,11
20.92192419,15,179,8,8
20.93479398,10,232,9,9
20.94627865,6,229,8,10
21.17642083,97.5,120,11,11
27.85800897,33,56,16,15
27.87939149,22,120,10,10
27.89664757,15,136,9,9
27.90951707,10,127,9,9
27.92100203,6,123,10,9
37.8281849,22,52,6,8
37.85580064,10,63,4,5
37.87536487,6,72,6,8
63.73325231,10,40,3,3
63.83309462,6,54,3,3
70.68736632,22,27,5,9
70.70404543,15,21,7,7
70.71682841,10,37,6,7
70.72796701,6,29,6,8
118.6307951,10,12,2,2
119.5957688,10,15,2,2
122.6085848,10,12,2,2
