obsdate,freq,flux,err,rms
39.4,1257354406.1650352,0.00024814006176000005,6.2035015440000005e-06,2.4814006176000002e-05
0.556,6.40E+05,5.22E+00,6.14E-01,5.22E-01
0.624,6.40E+05,6.39E+00,5.71E-01,6.39E-01
0.675,6.40E+05,5.12E+00,6.03E-01,5.12E-01
0.227,5.44E+05,4.33E+01,2.30E+00,4.33E+00
0.327,4.87E+05,7.26E+01,3.93E+00,7.26E+00
0.454,4.87E+05,5.93E+01,3.21E+00,5.93E+00
1.443,4.87E+05,1.36E+01,2.19E+00,1.36E+00
2.396,4.87E+05,1.05E+01,2.59E+00,1.05E+00
0.549,4.87E+05,4.71E+01,2.55E+00,4.71E+00
0.551,4.87E+05,4.58E+01,2.48E+00,4.58E+00
0.552,4.87E+05,4.98E+01,2.24E+00,4.98E+00
0.592,4.87E+05,4.41E+01,2.39E+00,4.41E+00
0.596,4.87E+05,4.62E+01,1.65E+00,4.62E+00
0.598,4.87E+05,4.37E+01,1.56E+00,4.37E+00
0.6,4.87E+05,4.45E+01,1.59E+00,4.45E+00
1.545,4.87E+05,1.49E+01,6.69E-01,1.49E+00
0.658,4.87E+05,4.29E+01,3.79E-01,4.29E+00
5.687,4.87E+05,3.05E+00,3.70E-01,3.05E-01
0.71,4.87E+05,4.33E+01,5.25E+00,4.33E+00
5.599,4.87E+05,2.86E+00,6.75E-01,2.86E-01
0.677,4.87E+05,4.10E+01,1.09E+00,4.10E+00
1.592,4.87E+05,1.30E+01,7.02E-01,1.30E+00
2.715,4.87E+05,8.89E+00,1.44E+00,8.89E-01
3.698,4.87E+05,4.54E+00,7.33E-01,4.54E-01
4.605,4.87E+05,2.13E+00,7.47E-01,2.13E-01
0.223,4.56E+05,1.09E+02,1.93E+00,1.09E+01
2.203,4.56E+05,1.20E+01,8.70E-01,1.20E+00
4.255,4.56E+05,4.68E+00,5.66E-01,4.68E-01
0.625,4.56E+05,4.43E+01,1.18E+00,4.43E+00
0.474,4.01E+05,1.94E+02,5.24E+00,1.94E+01
1.39,4.01E+05,5.81E+01,4.28E+00,5.81E+00
2.415,4.01E+05,3.02E+01,4.62E+00,3.02E+00
2.415,4.01E+05,3.02E+01,4.62E+00,3.02E+00
0.544,4.01E+05,1.80E+02,4.87E+00,1.80E+01
0.546,4.01E+05,1.84E+02,4.96E+00,1.84E+01
0.548,4.01E+05,1.72E+02,4.65E+00,1.72E+01
0.601,4.01E+05,1.67E+02,3.00E+00,1.67E+01
0.604,4.01E+05,1.58E+02,2.84E+00,1.58E+01
0.605,4.01E+05,1.64E+02,2.95E+00,1.64E+01
0.607,4.01E+05,1.60E+02,4.32E+00,1.60E+01
0.609,4.01E+05,1.66E+02,4.48E+00,1.66E+01
0.611,4.01E+05,1.61E+02,4.36E+00,1.61E+01
1.556,4.01E+05,5.50E+01,1.48E+00,5.50E+00
2.556,4.01E+05,2.75E+01,9.96E-01,2.75E+00
6.611,4.01E+05,8.55E+00,1.40E+00,8.55E-01
5.699,4.01E+05,1.07E+01,8.88E-01,1.07E+00
9.644,4.01E+05,5.20E+00,4.33E-01,5.20E-01
5.565,4.01E+05,1.07E+01,9.92E-01,1.07E+00
1.596,4.01E+05,4.97E+01,1.80E+00,4.97E+00
2.712,4.01E+05,2.63E+01,1.94E+00,2.63E+00
3.703,4.01E+05,1.66E+01,1.38E+00,1.66E+00
4.601,4.01E+05,1.19E+01,1.22E+00,1.19E+00
6.702,4.01E+05,1.10E+01,2.02E+00,1.10E+00
36.97,3.92E+05,8.57E-02,6.30E-03,8.57E-03
0.219,3.72E+05,2.96E+02,2.64E+00,2.96E+01
2.227,3.72E+05,3.94E+01,1.07E+00,3.94E+00
4.219,3.72E+05,1.80E+01,6.52E-01,1.80E+00
7.221,3.72E+05,1.14E+01,1.06E+00,1.14E+00
0.627,3.72E+05,1.52E+02,4.12E+00,1.52E+01
0.678,3.72E+05,1.39E+02,3.76E+00,1.39E+01
0.493,3.36E+05,2.91E+02,2.17E+01,2.91E+01
1.41,3.36E+05,6.99E+01,1.15E+01,6.99E+00
2.435,3.36E+05,4.33E+01,9.45E+00,4.33E+00
5.545,3.36E+05,1.82E+01,2.81E+00,1.82E+00
0.629,3.36E+05,1.96E+02,5.34E+00,1.96E+01
0.68,3.36E+05,1.84E+02,5.01E+00,1.84E+01
1.599,3.36E+05,6.03E+01,2.76E+00,6.03E+00
2.707,3.36E+05,3.84E+01,4.36E+00,3.84E+00
3.693,3.36E+05,2.13E+01,2.42E+00,2.13E+00
4.596,3.36E+05,2.09E+01,2.17E+00,2.09E+00
6.604,2.91E+05,4.08E+00,6.32E-01,4.08E-01
37.04,2.40E+05,2.25E-01,1.04E-02,2.25E-02
1.67,2.39E+05,7.64E+01,5.01E+00,7.64E+00
4.63,2.39E+05,2.10E+01,2.00E+00,2.10E+00
9.61,2.39E+05,8.77E+00,2.23E+00,8.77E-01
6.614,2.39E+05,9.62E+00,1.30E+00,9.62E-01
1.67,1.84E+05,1.02E+02,5.73E+00,1.02E+01
6.623,1.84E+05,1.62E+01,1.87E+00,1.62E+00
1.67,1.39E+05,1.27E+02,8.38E+00,1.27E+01
4.63,1.39E+05,5.44E+01,5.21E+00,5.44E+00
6.637,1.39E+05,1.87E+01,1.42E+00,1.87E+00
